user_id,handle,name,followers_count,following_count,tweet_count,is_root,is_candidate,discovered_via
15862891,Nature,nature,2550354,3255,84314,False,False,followed_by_root
1813545855028277248,SteveWitkoff,Steve Witkoff,130004,38,96,False,False,followed_by_root
1408003598,FDRLST,The Federalist,524251,719,78695,False,False,followed_by_root
1291389427630120961,astro_jannicke,Jannicke Mikkelsen,8367,133,96,False,True,followed_by_root
1738294722567794688,TeamSchimel,Team Schimel,42825,138,384,False,True,followed_by_root
50769180,IngrahamAngle,Laura Ingraham,5267199,711,62103,False,False,followed_by_root
42871498,LockheedMartin,Lockheed Martin,624652,382,18754,False,False,followed_by_root
285198536,DCPoliceDept,DC Police Department,277696,473,100060,False,False,followed_by_root
1901635213693784065,FBIDDBongino,Dan Bongino,937417,98,574,False,False,followed_by_root
10615232,ChuckGrassley,Chuck Grassley,998893,11624,15475,False,False,followed_by_root
1082197856,KariLake,Kari Lake,2992501,1184,43132,False,False,followed_by_root
1860407815925334016,SecretaryLCD,Secretary Lori Chavez-DeRemer,46413,88,1149,False,True,followed_by_root
281800967,scottmcnealy,Scott McNealy,21659,306,12817,False,True,followed_by_root
2359926157,CIA,CIA,3610536,56,5306,False,False,followed_by_root
166252256,ENERGY,U.S. Department of Energy,854666,359,33234,False,False,followed_by_root
1082790600292925440,RepChipRoy,Rep. Chip Roy Press Office,292659,379,15677,False,False,followed_by_root
44481652,omead,Omead Afshar,33298,773,1159,False,True,followed_by_root
959168599519764480,ray4tesla,Ray,137708,4,37042,False,False,followed_by_root
156523002,EVerastegui,Eduardo Verástegui,421572,107,30967,False,False,followed_by_root
1893027782684483585,DOWResponse,DOW Rapid Response,238909,16,1829,False,False,followed_by_root
66369181,DeptofWar,Department of War 🇺🇸,6622887,693,43298,False,False,followed_by_root
1265526183137067010,TheCaptainEli,Captain Eli,17118,485,16841,False,True,followed_by_root
1872569731829604352,IfindRetards,Retard Finder,818213,779,12396,False,False,followed_by_root
775104300452311041,ada_lluch,Ada Lluch,414046,1196,18968,False,False,followed_by_root
