source,target,weight,interaction_type,depth
44196397,2359926157,5.0,follow,1
44196397,166252256,5.0,follow,1
44196397,1082790600292925440,5.0,follow,1
44196397,44481652,5.0,follow,1
44196397,959168599519764480,5.0,follow,1
44196397,156523002,5.0,follow,1
44196397,1893027782684483585,5.0,follow,1
44196397,66369181,5.0,follow,1
44196397,1265526183137067010,5.0,follow,1
44196397,1872569731829604352,5.0,follow,1
44196397,775104300452311041,5.0,follow,1
44196397,781930918739083264,5.0,follow,1
44196397,22831059,5.0,follow,1
44196397,1060370282,5.0,follow,1
44196397,1878717459148230656,5.0,follow,1
44196397,42519612,5.0,follow,1
44196397,101852818,5.0,follow,1
44196397,15647676,5.0,follow,1
44196397,1271472849803501570,5.0,follow,1
44196397,170759111,5.0,follow,1
44196397,1553043003496960000,5.0,follow,1
44196397,1889061805458079744,5.0,follow,1
44196397,16906660,5.0,follow,1
44196397,107,5.0,follow,1
44196397,1162901370,5.0,follow,1
44196397,1016908862136332288,5.0,follow,1
44196397,232901331,5.0,follow,1
44196397,624632838,5.0,follow,1
44196397,784830007,5.0,follow,1
44196397,1873569596289994752,5.0,follow,1
44196397,1889069367394193408,5.0,follow,1
44196397,423216326,5.0,follow,1
44196397,70174349,5.0,follow,1
44196397,1722634861989507073,5.0,follow,1
44196397,1892594777075417088,5.0,follow,1
44196397,260788584,5.0,follow,1
44196397,1892038693881270272,5.0,follow,1
44196397,3165434588,5.0,follow,1
44196397,1886776365673803776,5.0,follow,1
44196397,1389360201996832771,5.0,follow,1
44196397,1659361256602730496,5.0,follow,1
44196397,16467567,5.0,follow,1
44196397,1881447582213550080,5.0,follow,1
44196397,16876198,5.0,follow,1
44196397,1828995458343026689,5.0,follow,1
44196397,1372583311638470663,5.0,follow,1
44196397,548078410,5.0,follow,1
44196397,792096589191852033,5.0,follow,1
44196397,620571475,5.0,follow,1
44196397,1891343058710507520,5.0,follow,1
44196397,6535212,5.0,follow,1
44196397,615818451,5.0,follow,1
44196397,105705196,5.0,follow,1
44196397,2885786046,5.0,follow,1
44196397,1525539342785159170,5.0,follow,1
44196397,1879960935126708224,5.0,follow,1
44196397,2417586104,5.0,follow,1
44196397,2162812627,5.0,follow,1
44196397,1823608743822868480,5.0,follow,1
44196397,1034954029896355840,5.0,follow,1
44196397,8775672,5.0,follow,1
44196397,613926689,5.0,follow,1
44196397,44783853,5.0,follow,1
44196397,1298624375692894210,5.0,follow,1
44196397,1886875846473879552,5.0,follow,1
44196397,17955081,5.0,follow,1
44196397,234163619,5.0,follow,1
44196397,90480218,5.0,follow,1
44196397,1889464666885382144,5.0,follow,1
44196397,1213227521392558080,5.0,follow,1
44196397,2964174789,5.0,follow,1
44196397,68538286,5.0,follow,1
44196397,816869611480186880,5.0,follow,1
44196397,1027351783071346688,5.0,follow,1
44196397,1882543731179495424,5.0,follow,1
44196397,343041182,5.0,follow,1
44196397,1879652428490149888,5.0,follow,1
44196397,23485648,5.0,follow,1
44196397,18061669,5.0,follow,1
44196397,816683274076614656,5.0,follow,1
44196397,702688843934277632,5.0,follow,1
44196397,1872160058,5.0,follow,1
44196397,8360172,5.0,follow,1
